a,ひとつの 
cracked,砕けた
creditor,債権者
creek,小川
cripple,肢体障害者
criterion,規準
crude,天然のままの
crumb,パンくず
crust,パンの皮
crutch,松葉づえ
cultivated,耕作された
cultivation,耕作
curly,カールした
cylinder,円柱
dazzle,強烈な光が～を目をくらませる
deafen,人を耳を聞こえなくする
dean,学部長
debut,社交界へ初めて出ること
deceitful,人をだます
decidedly,明らかに
decisive,決定的な
deem,～と思う
deficiency,不足
delegate,代表
delegation,代表派遣
den,巣穴
density,密集
dependency,依存関係
descendent,子孫
desolate,荒れ果てた
destined,～行きの
destroyer,破壊者
detach,～を引き離す
detergent,洗剤
developmental,発達
devour,～をむさぼり食う
diagnosis,診断書
dialect,方言
diameter,直径
dictate,文章などを書き取らせる
dictation,口述
differentiate,差別
diligence,勤勉
dining,騒音
diploma,卒業証書
diplomacy,外交
directive,指令
disagreeable,嫌な
disappearance,消失
disarmament,軍縮
disastrous,災害の
disbelief,信じないこと
discard,不用品・習慣などを捨てる
disciple,弟子
discomfort,不安
discouragement,落胆
disgusted,うんざりした
dishonor,不名誉
dismal,陰うつな
dismay,恐怖・危機・心配などが～をうろたえさせる
dismissal,解散
dispatch,電報・手紙などを送る
displace,～にとって代わる
disposal,配置
disposition,気質
dissatisfaction,不満
dissatisfied,人に不満を抱かせる
distort,ゆがめる
distorted,ゆがめる
distract,人の注意をそらす
distributor,分配する人
divert,～をわきへそらす
dividend,配当
doctrine,教義
dogmatic,教義上の
domain,領地
dome,丸屋根
donate,～を寄贈する
doom,運命
dormitory,寄宿舎
dose,服用量
drastic,物事の程度が激しい
dreamy,夢のような
drowsy,眠い
duration,持続
dusk,たそがれ
duster,はたき
dutiful,本分を守る
eastward,東へ
easygoing,のんきな
eccentric,普通でない
ecology,生態学
edible,食用になる
editorial,社説
elastic,弾力のある
elevate,～を上げる
eloquent,雄弁な
embark,人が乗船する
embrace,～を抱きしめる
emergence,出現
eminent,高い
emission,放射
enchant,～に魔法をかける
enclosure,包囲
encore,アンコール
enforce,法律などを実施する
enforcement,施行
engaging,人を引き付ける
enhance,を増す
enrich,社会・人などを裕福にする
enthusiast,～狂
envelop,～を包む
epoch,画期的な時代
equator,赤道
erotic,性欲をかきたてる
err,誤る
escort,付き添い
evenly,等しく
eventual,終局の
excel,～にまさる
exclamation,感嘆
exclusion,除外すること
execution,実行
exert,威力などを発揮する
exhausting,人を疲れ果てさせる
exile,国外追放
existent,存在する
expend,時・金・労力などを費やす
expenditure,支出
expertise,専門技術知識
expressive,表情の豊かな
exquisite,絶妙な
eyelash,まつげ
eyelid,眼瞼
eyesight,視力
fabric,織物
factual,事実上の
Fahrenheit,華氏
falsehood,偽りの陳述
fascination,魅惑すること
fasting,絶食
faultless,過失のない
feedback,フィードバック
feeder,食う動物
feminine,女性の
feverish,熱っぽい
fiery,火の
fig,いちじくの木
fingerprint,指紋
fiscal,国庫収入の
flake,薄片
flap,帆・旗などがはためく
flattery,へつらうこと
flip,～をはじく
flush,手ぞろい
foe,敵
foggy,霧の立ちこめた
folklore,民間伝承
footpath,小道
forbidding,禁じる
forceful,力のこもった
forefather,祖先
foresee,～を予知する
formidable,恐ろしい
formulate,定式化公式化する
forsake,友などを見捨てる
forthcoming,近刊
forum,大広場
fraud,詐欺
freight,貨物運送
friction,摩擦
fright,恐怖
frightful,ぎょっとするような
fringe,ふさ飾り
functional,機能上の
furious,すさまじい
furnace,厳しい試練
furnished,家具付きの
fury,激しい怒り
gardening,造園
gargle,うがい液・水などでうがいする
genre,形式
geographical,地理的
geology,地質学
gigantic,巨大な
giggle,女の子がくすくす笑う
given,giveの過去分詞 
glacier,氷河
glare,太陽などがぎらぎら光る
goldfish,キンギョ
gospel,福音
gracious,思いやりのある
gratify,人・欲望などを満足させる
grease,グリースを塗る
greed,どん欲
groom,馬丁
growl,動物がうなる
grumble,不平をいう
guardian,保護者
gull,人をだます
gunshot,射撃
hairy,毛深い
halve,～を半分に分ける
handicraft,手芸
handout,施し物
handshake,握手
handwriting,肉筆
hare,野ウサギ性がない
harmonious,調和のとれた
hatch,半戸
haul,～を引っぱる
hazard,危険
hearth,炉床
heartily,心から
hearty,心のこもった
heed,警告・忠告などに注意する
heighten,～を高くする
hereafter,今後
hijack,輸送中の貨物を盗む
hind,後ろの
hinder,物事を運行を妨げる
hindrance,じゃまする人
hiss,シュッと音をたてる
hive,ミツバチの巣箱
homecoming,帰郷
hoof,ひづめ
hopefully,希望に満ちて
horoscope,星占い
horseshoe,てい鉄
hostel,宿泊施設
hound,猟犬
hourly,1時間の
householder,家中のもの
humid,湿度の高い
humility,謙そん
hurdle,ハードル
hurl,～を強く投げる
hush,静けさ
husky,エスキモー犬
hydrogen,水素
hypothesis,前提
idealistic,理想主義者
identical,同一の
identifiable,同定可能な
idol,偶像
illuminate,～を照らす
illumination,照明
implore,に哀願する
imposing,人を威圧するような
imprisonment,懲役
improper,ふさわしくない
inability,無能
inactive,活動しない
incentive,刺激的な
incessant,絶え間なく続く
incidence,発生率
incidentally,付随して
inclusion,中に含めること
inclusive,全部を含んだ
inconvenience,不都合
inconvenient,不都合な
incorporate,事業などを法人組織にする
indicator,方向指示灯器
indignant,憤概した
indignation,憤慨
indignity,軽べつすること
indispensable,不可欠
induce,人に勧めてさせる
indulge,欲望などを満足させる
inexperienced,経験の浅い
ingenious,工夫に富んでいる
inherent,本来備わっている
injection,注射
injustice,不正
inland,内陸の
innocence,無罪
innumerable,無数
insane,狂気の
insignificant,つまらない
installation,取り付け
instinctive,本能的な
insulting,侮辱的な
intact,損なわれない
intake,取入れ口
intelligible,よくわかる
intensify,～を強める
intensive,集中的な
intentional,故意の
interaction,相互作用
interference,干渉
intersection,交差点
intrude,じゃまをする
invalid,病人
invariably,いつも変わらずに
ironical,皮肉な
itch,かゆい感じ
jeweler,宝石商
jockey,競馬の騎手
jug,水入れ
junction,連結すること
kernel,仁
kin,親族
knob,節
knowledgeable,知識
knuckle,指のつけ根の関節
lament,嘆く
landlord,家主
lapse,ちょっとした誤り
lash,～をしっかり結ぶ
latitude,緯度
lavatory,洗面所
lawful,法的に認められた
leaflet,ちらし
lease,借地契約
lecturer,講演者
leftover,残り物
legislative,立法権のある
legitimate,合法的な
lengthen,長くする
leopard,豹
lessen,～を少なくする
liability,傾向のあること
liable,責任のある
lieutenant,中尉
lifeboat,救命艇
lighten,～を明るくする
lighthouse,灯台
limp,のろのろ進む
linear,線の
linger,なかなか立ち去らない
linguistic,語学上の
livelihood,生計
lizard,とかげ
locomotive,移動する
lofty,非常に高い
lonesome,寂しい
longtime,長年の
loop,輪・輪状のもの
lorry,貨物自動車
lotion,ローション
lottery,富くじ
luncheon,昼食
luxurious,快楽を追い求める
madly,気が狂って
magnify,レンズなどが～を拡大うる
magnitude,大きさ
mainstream,主流
malice,悪意
manifest,明白な
mansion,大邸宅
mantle,外とう
maple,カエデ
marsh,沼地
marshal,軍司令官
masculine,男らしい
maturity,満期
mediator,メディエータ
meditate,慎重に考える
meditation,深く考えにふけること
melancholy,憂うつ
memorandum,覚書
menace,おびやかす
mentality,精神力
merchandise,商品
merciful,慈悲ぶかい
mercury,水銀
messy,乱雑な
metropolis,首都
metropolitan,首都圏
mileage,総マイル数
miner,坑夫
miraculous,奇跡の
misplace,～を置き間違える
modification,修飾
monarchy,君主政体
monk,修道僧
monotonous,単調な
monstrous,ぞっとするような
mortality,死を免れぬこと
mortgage,抵当
motionless,動かない
motivation,動機づけ
mover,動き人
municipal,市の
muse,深く考える
mustache,口ひげ
mute,口のきけない
nationalism,愛国心
nationalize,土地・産業などを国有化する
navigate,人が船・航空機などを操縦する
navigator,航海士
negligence,怠慢
nominate,～を指名する
notable,注目に値する
notwithstanding,～にもかかわらず
nourish,～を養う
oath,誓い
obstinate,頑固な
occurrence,発症
oddly,奇異に
omission,省略すること
operating,作動
oppress,人や権力などが人を虐げる
oppression,虐げること
optimism,楽天主義
optimist,楽天主義者
orderly,整頓された
ordinarily,たいてい
outfit,装備一式
outgoing,外向的な
outing,遠足
outrage,暴行
overturn,～をひっくり返す
overview,概要
pail,手おけ
panorama,広々と見渡せる光景
papal,ローマ教皇の
paralyze,～を麻痺させる
parsley,パセリ
partake,いっしょに加わる
pastor,牧師
pathetic,哀れな
pathway,道
patriot,愛国者
patriotic,愛国心の強い
pave,舗装する
payable,採算のとれる
payer,支払い人
pebble,小石
pedestrian,歩行者
peg,くぎ
peninsula,半島pen. 
perpetual,絶え間ない
perplex,物事を混乱させる
persuasion,説得
persuasive,説得できる
pessimism,悲観
pessimist,悲観論者
petition,嘆願
pharmacist,薬剤師
picturesque,絵
piercing,つんざく
pious,敬けんな
pipeline,輪送パイプ
pitiful,哀れな
planetary,惑星の
plaster,しっくい
playful,遊び好きな
pluck,花・果物などを摘む
plumber,配管工
plump,どしんと落ちる
poisoning,中毒
polar,極地の
potluck,みんながごちそうを持ち寄る食事料理
pottery,製陶術
pouch,小袋
precede,～より先に来る
precision,正確
predecessor,前任者
preface,序文
preferable,いっそう望ましい
premier,第1位の
prescribe,守るべき規則・方針などを規定する
preside,司会をする
prestige,威信
presumably,おそらく
presume,～を推定する
prevailing,最も一般の
prevalent,普及した
prior,前の先の
profess,～をはっきりと言う
projection,突き出させること
pronoun,代名詞
prop,小道具
propaganda,宣伝
prophet,預言者
prospective,見込み
prune,～を切り取る
pulse,豆類
punctuality,時間に正確なこと
quaint,古風で趣のある
qualified,資格のある
quart,クォート
queer,体の調子が悪い
quicken,～を速める
quotation,引用すること
raid,襲撃
rake,傾斜
ranch,大牧場
rash,向こう見ずな
rationality,道理にかなっていること
rationalize,自分の意見・行為を正当化する
realization,実現
reappear,再びあらわれる
rebellious,反抗する
recite,～を暗唱する
reckon,～を数える
recollect,～を思い出す
recollection,思い出
reconcile,和解させる
reconciliation,和解
reed,アシ
referee,審判員
refinement,精製
refrain,控える
regime,政治制度
regrettable,遺憾な
rehabilitation,リハビリテーション
rein,手綱
reinforce,～を増強する
relay,替え馬
reluctance,気が進まないこと
renewal,更改
reorganize,～を再編成する
repent,後悔する
reprint,～を再び印刷する
reproach,人をしかる
reptile,爬虫類の動物の動物
resistant,抵抗力のある
respective,それぞれの
respectively,それぞれ
responsive,すぐ反応する
restrictive,制限された
revealing,露出する
revelation,明らかにすること
reverence,崇敬
rhetoric,修辞学
ridicule,あざけり
rim,へり
riot,暴動
ripen,果物・時機などが熟する
roller,ローラー
rooster,おんどり
rot,腐る
rotation,回転
rotten,腐敗した
roundabout,遠回りの
rouse,人の目を覚まさせる
royalty,王室の一員
rug,敷き物
rugged,でこぼこの
rustle,衣擦れの音をさせる
safeguard,保護するもの
saloon,大広間
sane,正気の
sanitary,公衆衛生の
satire,風刺
scandalous,不面目な
scanty,乏しい
scarlet,深紅色
scoop,ひしゃく
scornful,軽べつする
seam,縫い目
seaman,水夫
seasonal,季節の
seasoning,調味料
seeker,追求者
selective,選択の
semifinal,準決勝の
sensational,感覚の
senseless,意識を失った
sentimental,感傷的な
sergeant,軍曹のすぐ上の下士官
sermon,説教
serpent,ヘビ
setup,組織
sexuality,性別
shabby,古ぼけた
shadowy,影のある
shaft,矢がら
shawl,ショール
sherry,シェリー酒
shining,輝く
shriek,甲高い叫び声
shrub,低木
shrug,骨をすくめる
silky,絹のような
simplify,～を簡単にする
simultaneous,同時
sip,～をちびちび飲む
situate,～を置く
skim,液体から上澄みを取る
skinny,皮と骨ばかりの
skyline,地平線
slang,俗語
slant,傾く
slay,～を殺す
sleeper,眠っている人
slot,細長いみぞ
slug,～をげんこつでぶんなぐる
slumber,眠る
sly,ずるい
smog,スモッグ
snail,カタツムリ
snare,わな
snore,いびきをかく
socialism,社会主義
sociologist,社会学者
soloist,独奏者
soothe,人・神経などをなだめる
sophomore,2年生
sorrowful,悲しんでいる
souvenir,記念品
sown,sowの過去分詞 
sparkling,光輝く
spear,やり
specimen,見本
spike,穂
splash,水・泥などをはねかける
splendor,輝き
spoke,輻
sponsorship,スポンサー
spontaneous,自発
spotted,斑点のある
sprung,springの過去・過去分詞 
spur,拍車
squash,カボチャ
stab,～を刺す
stance,態度
staple,主要産物
stapler,製本機
static,静止の
stationery,文芳具
statistical,統計的な
steadfast,しっかりした
steward,執事
stiffen,～を堅くする
stopper,止める人
storehouse,倉庫
storekeeper,店主
stout,じょうぶな
straightforward,率直
strand,船を座礁させる
striker,ストライキをする人
stylistic,文体の
subdue,～を抑制する
subjective,主観的な
sublime,高尚な
submarine,潜水艦
submission,服従
subscription,サブスクリプション
subsequent,その後の
subsequently,後の
subsidiary,補助の
subsidy,補助金
subtract,～を引く
sullen,不きげんな
summarize,～を要約する
sunbeam,太陽光線
sunk,sink の過去分詞 
superb,りっぱな
supernatural,超自然
superpower,超大国
superstition,迷信
supervise,労働者・仕事などを監督する
supplier,原料供給国
supportive,支える
suppression,抑制
surpass,～より優れている
surplus,黒字
suspension,つるすこと
swarm,いる昆虫などの群れ
sweeten,～を甘くする
sweetie,いとしい人
swelling,ふくらむこと
symbolize,～を象徴する
symposium,シンポジウム
takeout,持ち出し
talkative,おしゃべりな
tan,tangent 
tanker,タンカー
tariff,関税
tasteful,風雅な
tearful,涙ぐんだ
tedious,たいくつな
telecommunications,通信
teller,話し手
temperate,節度のある
tempest,大あらし
temporarily,仮りに
territorial,国防義勇軍兵士
testify,人が証言する
textile,織物の
texture,織り方
thaw,氷・雪などが解ける
theoretical,理論上の
thereafter,その後
thesis,陳述
thicken,～を厚くする
thicket,低木の茂み
thigh,もも
thoughtless,軽率な
threshold,敷居
thrive,成長する
thunderstorm,雷雨
tidal,潮の
tile,タイル
timber,材木
timer,時間記録係
timing,タイミング
tireless,疲れない
tiresome,飽き飽きかせる
toil,骨折って働く
tolerable,我慢できる
tolerance,寛大
tolerant,寛大な
toll,使用通行料金
tradesman,商人
trainee,訓練を受けている人
traitor,裏切り者
tram,四輪運搬車
tramp,ドシンドシンと歩く
trample,～を踏みつける
tranquil,のどかな
traveling,旅行すること
treasurer,会計係
tribute,感謝の印
tricky,こうかつな
trifle,つまらない事
trustee,受託会社
tumble,ころがる
turnover,転覆
twig,～を悟る
tyranny,圧制
tyrant,暴君
unanimous,一致の
unchanged,不変の
understandable,理解
undertaking,事業
undesirable,好ましくない
unhealthy,健康でない
uniformity,一様
unofficial,非公式の
unpopular,人気のない
unpredictable,予測不可能な
unskilled,未熟な
unsure,不安定な
update,更新する
uphill,困難な
uphold,～を支える
usage,用い方
utensil,器具
utterance,発すること
vacancy,あき部屋
vaguely,漠然と
valve,バルブ
vapor,蒸気
variable,変わりやすい
vein,静脈
verbal,語の
vertical,垂直の
vibrate,振動する
victor,勝利者
virtually,事実上
virtuous,徳の高い
vocation,職業
vulgar,下品な
wallpaper,壁紙
wanderer,放浪者
ware,商品
warfare,戦争
warring,戦争
washcloth,洗面タオル
watering,灌水
waver,揺れる
weary,疲れた
weird,超自然的な
westward,西に向かう
wheelchair,車いす
wholesale,卸し売り
wholesome,体によい
willow,ヤナギ
wintertime,冬
wither,植物がしぼむ
withstand,～に抵抗して耐える
witty,機知に富んだ
wreath,花輪
wreck,乗り物などを江破させる
wrestling,レスリング
wretched,非常に不幸な
wring,ぬれた物を絞る
yarn,糸
zeal,熱心
zealous,熱心な
zip,迅速に動く･行動する
abnormality , 異常 
aboriginal , 土着の 
abound , 人・動物などがたくさんいる 
absorbing , 吸収する 
absorption , 吸収 
accelerate , ～の速度を速める 
accumulation , 蓄積 
acknowledgment , 承認 
acutely , 急性的に 
adaptable , 適応できる 
adapter , 改作者 
addict , 人を熱中させる 
addiction , 熱中すること 
adhere , 物がくっつく 
adjustable , 調節できる 
adolescence , 青春期の 
adolescent , 青春期の 
adverse , 不利な 
advisable , 当を得た 
advocate , 考え・主義・政策などを弁護して言う 
aerial , 空気の 
aerospace , 気圏 
aesthetic , 美の 
affectionately , 愛情深い 
affirmative , 肯定的な 
afflict , ～を苦しめる 
aging , 加齢 
agitation , ゆり動かすこと 
agonize , 苦しみもだえる 
allegation , 主張 
alleged , 申し立てられた 
allegedly , 伝えるところによると 
allocate , ～を配分する 
alpha , アルファ 
alternatively , 交互 
ambiguity , あいまいさ 
ambiguous , いろいろな意味にとれる 
amid , に囲まれて 
amused , おもしろがった 
analog , アナログ 
analogy , 類似 
analytic , 分析的な 
analytical , 分析 
anatomy , 解剖学 
ancestral , 祖先の 
anguish , 激しい苦しみ 
annoyed , 困って 
anti , 反対する人 
antibody , 抗体 
apparel , 衣服 
appreciative , 感謝 
arbitrary , 随意の 
arc , 弧 
archaic , 今は一般に用いられない 
arise , 問題・事件などが起こる 
aristocracy , 貴族政治 
aristocrat , 貴族の一人 
aristocratic , 貴族の 
array , 軍隊などを整列させる 
arrogance , 傲慢 
artisan , 職人 
ascertain , 突止める 
ascribe , 物・事をせいにする 
aspiration , 大望 
aspire , 大望を抱く 
assassinate , 暗殺 
assault , 的な意で襲うこと 
assorted , さまざまな種類の 
assuming , ずうずうしい 
attainment , 達成すること 
attic , 屋根裏 
audit , 会計検査 
authentic , 信頼できる 
authoritative , 権威 
autonomy , 自主性 
aviation , 飛行 
avocado , アボカド 
babble , 幼児などが片言でしゃべる 
badge , 記章 
bail , つる 
balanced , 意志強固な 
ballad , 民謡 
baron , 男爵に次ぐ貴族 
barren , やせた 
bass , シナノキ 
batch , 一焼き分 
batter , バッター 
bearer , 運ぶ人 
bearing , 態度 
bewilder , 人を当惑させる 
bewilderment , 困惑 
biased , バイアスのかかった 
biographer , 伝記作者 
biographical , 伝記 
birthrate , 出生率 
bishop , 主教 
blackmail , ゆすり 
blacksmith , かじ屋 
bleak , 荒涼とした 
blur , にじみ 
borderline , 国境線 
botany , 植物学 
brace , つっぱり 
breach , 破ること 
breakthrough , 突破口 
breakup , 解体 
brew , 醸造する 
bribery , 贈賄 
brink , 瀬戸際 
broker , ブローカー 
brood , ひな 
brownie , ブラウニー 
buckle , 締め金 
buddy , 親友 
buffalo , 水牛 
bulky , かさばった 
bully , ごろつき 
bum , スポーツを優先する人 
bumper , バンパー 
bungalow , バンガロー 
burglary , 住宅侵入 
buttonhole , ボタン穴 
calling , 呼ぶこと 
cancellation , キャンセル 
captivity , 捕われの身 
carnival , 謝肉祭 
casino , カジノ 
casualty , 賜傷者負傷者 
categorical , absolute 
celebrity , 名声 
centigrade , 100分度の 
charcoal , 炭 
charitable , 慈悲深い 
checklist , 照合表 
childcare , 育児 
chirp , チュッチュッ 
chord , 弦 
clarity , 明快さ 
clasp , 留め金 
claw , かぎづめ 
cleanse , ～を消毒する 
cleanser , 洗剤 
cleanup , 掃除 
clench , 歯をくいしばる 
clerical , 事務員の書記の 
cleverly , うまいこと 
clone , 無性的に繁殖させる 
closure , 閉鎖 
cloudless , 雲のない 
coalition , 連立 
cockpit , 操縦室 
coeducation , 共学 
coherent , 首尾一貫した 
coincidence , 偶然の一致 
collide , ぶつかる 
colonize , 国などがある土地を植民地にする 
comma , コンマ 
commentary , 解説 
commentator , 解説 
communion , 聖餐 
commute , ～を振り替える 
compassion , 思いやり 
compatible , 両立できる 
compelling , 抗し難い 
compile , 一つにまとめる 
comply , 従う 
composite , 合成の 
compress , ガスなどを圧搾する 
compute , ～を計算する 
computerize , 電子化 
con , ～をよく研究する 
conceit , 自負心 
conceivable , 考え 
conclusive , 結論的な 
condominium , マンション 
confinement , 監禁 
confirmed , 確認された 
conflicting , 矛盾する 
congregation , 会衆 
congressional , 会議の 
conscientious , 良心 
conserve , ～を保存する 
considerate , 思いやり 
consistency , 一貫性 
consolidate , 組織などを固める 
consolidation , 圧密 
conspicuous , 目立つ 
conspire , 陰謀をたくらむ 
constraint , 強制 
contagious , 接触伝染性の 
contaminate , 汚染 
contented , 満足した 
contributor , 寄付者 
cookery , 料理法 
coordination , 調整 
correlation , 相互関係 
corresponding , 対応する 
cosmopolitan , コスモポリタン 
countenance , 顔つき 
coup , 不意に一激 
courtyard , 中庭 
cram , ～をぎっしり詰める 
cramp , かすがい 
crater , 噴火口 
craze , 人の気を狂わせる 
credible , 信じられる 
creed , 信条 
critique , 評論 
crooked , 曲がった 
cruelly , 残酷に 
cruiser , 巡洋艦 
crusade , 十字軍 
crushing , 粉砕 
cubic , 立方体の 
cursed , のろわれた 
curved , 曲がった 
custard , カスタード 
custody , 拘留 
customary , 習慣的な 
dagger , 短剣 
dandelion , タンポポ 
deathbed , 死の床 
decency , きちんとしていること 
decimal , 小数の 
decorative , 飾りになる 
dedication , 献身すること 
defective , 不良の 
degradation , 格下げ 
delete , 語などを削除する 
delicacy , 優美さ 
delta , デルタ 
demo , デモ 
demon , 悪霊 
deodorant , 脱臭剤 
depict , ～を描き表す 
deprivation , はく奪 
descriptive , 記述的な 
deserved , 賞罰・評価などに値する 
designate , ～を指摘する 
designing , たくらみのある 
desktop , 卓上用の 
desperation , 絶望 
detached , 離れた 
detachment , 分遣隊 
devastate , ～を荒廃させる 
dice , さい 
dictator , 独裁者 
dignify , ～に威厳を添える 
dilemma , 板ばさみ 
directory , ディレクトリ 
disability , 無力 
disabled , 不具になった 
disarm , ～の武装を解く 
discern , ～を見分ける 
disciplinary , 訓練の 
disciplined , 訓練された 
discontent , 不満 
discontinue , 中止 
discredit , ～の信用を落とす 
discretion , 行動の自由 
discriminate , 差別 
disdain , ～を軽べつする 
disillusion , 人に迷いを覚まさせる 
disinterested , 公平無私 
disobedience , 反抗的 
disobey , 人・命令・規則などに服従しない 
dispense , ～を分配する 
displacement , 変位 
displeasure , 不満 
disposable , 使い捨てにできる 
disregard , ～を無視する 
disrupt , ～を混乱させる 
disruption , 分裂 
dissolution , 分解作用 
distraction , 気を散らすこと 
diversion , そらせること 
divided , ～を分ける 
divinity , 神であること 
documentation , 文書 
dodge , すばやく身をかわす 
dominance , 優位 
domination , 支配 
don , 着る 
donor , 寄付者 
dough , 練り粉 
downhill , 丘の下へ 
dramatist , 劇作家 
dramatize , 小説などを戯曲化する 
drawback , 障害 
driven , driveの過去分詞 
duly , 正しく 
dummy , 人台 
dumping , 投げ捨て 
durable , 耐久力のある 
dweller , 居住者 
dynamics , 力学 
dynamite , ダイナマイト 
eccentricity , 偏心 
ecological , 生態学的な 
ecologist , 生態学者 
ecstasy , 有頂天 
eel , ウナギ 
electoral , 選挙人の 
elegance , 優美 
elimination , 除去 
eloquence , 雄弁 
embroider , 模様などをししゅうする 
emigrate , 移住する 
emigration , 移住 
emit , 水・熱・光・音・声などを出す 
emphatic , 断固たる 
emphatically , きっぱりと 
encouraging , 奨励 
encyclopedia , 百科事典 
endanger , 生命・富・健康・計画などを危うくする 
endorse , 小切手・手形・証書などに裏書きをする 
endow , 学校などに寄付する 
endowment , 養老保険 
enduring , がまん強い 
enlightenment , 啓発 
enlist , を兵籍に入る 
enroll , 人の氏名を名簿に記入する 
entangle , ～をもつれさせる 
enterprising , 進取の気性に富んだ 
entity , 存在 
entrepreneur , 起業家 
epidemic , 伝染性の 
equilibrium , 釣り合い 
equity , 公平 
eruption , 突発 
escalate , ～を段階的に増す 
estimated , 見積りの 
estimation , 判断 
eternity , 永遠 
etiquette , 礼儀 
exalt , 人を昇進させる 
exceptionally , 例外的に 
exhaustive , 徹底的な 
exotic , 異国の 
expanse , 広がり 
expel , 人を除名する 
expire , 期限などが満了する 
explanatory , 解説の 
explicit , 明白に述べた 
exploitation , 開発 
expressway , 高速道路 
extinct , 絶滅した 
extinguish , 火・光などを消す 
extravagant , 法外な 
eyeball , 眼球 
eyewitness , 目撃者 
facilitate , ～を容易にする 
faction , 派閥 
fad , 一時的流行 
fading , 一時的流行 
faintly , かすかに 
falter , ためらう 
fanciful , 空想上の 
farmyard , 農家の庭 
fascism , ファシズム 
fatality , 災害 
favored , 好意をもたれている 
fellowship , 仲間であること 
feminism , フェミニズム 
fertility , 受胎能 
fertilize , 土地を肥沃にする 
fertilizer , 肥料 
festive , 祭りの 
festivity , 祝い 
fillet , 細長いひも 
filling , 詰め物 
filmmaker , 映画 
filthy , 不潔な 
fingernail , 指のつめ 
finished , 仕上がった 
finite , 限りある 
fishery , 漁業 
foil , 金属の薄片 
footlight , フットライト 
forefront , 最前部 
forestry , 林学 
formulation , 処方 
fragile , 壊れやすい 
fragrance , 芳香 
frail , こわれやすい 
frantic , 気も狂わんばかりの 
freelance , 自由契約者 
friendliness , 友人らしさ 
frustrating , frustrateの形容詞 
fullness , 満ちていること 
galaxy , 星雲 
gale , 強風 
gauge , 標準寸法 
gender , 性 
generalization , 一般化 
generalize , 一般的に扱う 
genuinely , 純粋に 
glaze , ～にガラスをはめる 
gloom , 暗がり 
godfather , 教父 
goodwill , 善意 
gourmet , 料理や酒の味の鑑識力のある人 
governing , 統治する 
governmental , 政府 
grader , 等級をつける人 
groundwork , 土台 
guerrilla , ゲリラ兵 
gulp , 飲み物・食べ物を急いでごくりと飲む 
guru , ヒンズー教の教師 
gush , 水・血・言葉などが勢いよく噴き出す 
gut , 腸 
gymnasium , 体育館 
habitat , 生息地 
habitually , 習慣的に 
hangover , 二日酔い 
harassment , 嫌がらせ 
hardworking , 勤勉な 
harmonize , ～を調和させる 
hazelnut , ハシバミの実 
heavyweight , ヘビー級 
hemisphere , 半球 
hereditary , 遺伝的な 
heroin , ヘロイン 
hesitant , ちゅうちょする 
hierarchy , ヒエラルキー 
hinge , ちょうつがい 
hitch , ～をつなぐ 
hitherto , これまで 
homeland , 故国 
homosexual , 同性愛 
honorary , 名誉として与えられる 
hoop , たが 
horrified , すごい恐怖を表す 
horrify , ～をぞっとさせる 
hose , 靴下類 
hospitalize , 人を入院させる 
hostage , 人質 
humanism , 人間主義 
humanitarian , 人道 
humidity , 湿度 
humiliate , 人の自尊心を傷つける 
humiliation , 辱めること 
hurrah , 万歳 
hybrid , 雑種 
hypocrisy , 偽善 
hysterical , ヒステリー性の 
idealism , 観念論 
ideological , イデオロギーの 
ignition , 点火 
illiterate , 読み書きのできない 
illustrated , ～を説明する 
imagery , 像 
imaginable , 想像できる 
imbalance , 不均衡 
immerse , ～を浸す 
immigrate , 移住する 
immigration , 移住 
immoral , 不道徳な 
immortality , 不死 
impeachment , 弾劾 
impersonal , 特定の人に関係のない 
implication , 巻き添え 
implicit , 暗に示された 
implied , ～をほのめかす 
impractical , 実用的でない 
imprint , 印などを押す 
improbable , ありそうもない 
impulsive , 衝動的な 
inaccessible , アクセスできない 
inaccurate , 不正確な 
inadequacy , 不十分 
incoming , 外から入ってくる 
incomplete , 不完全な 
incomprehensible , 理解できない 
inconsistent , 矛盾 
incorporated , 法人 
individuality , 個性 
indulgence , ふけること 
indulgent , 気ままにさせる 
industrialize , 工業化 
ineffective , 効果のない 
inefficient , 役に立たない 
inequality , 等しくないこと 
infancy , 幼年時代 
inferiority , 劣っていること 
infinitely , 無限に 
inflexible , 曲がらない 
informative , 情報価値のある 
inhibit , 感情・欲望・行動・作用などを抑制する 
initiation , 開始 
inject , 液体などを注射する 
innate , 生まれつきの 
innkeeper , 宿屋の主人 
inscription , 記すこと 
inseparable , 分けられない 
integral , 全体の一部分として欠くことのできない 
integrate , ～を統合する 
integrated , 統合した合成した 
integration , 統合 
integrity , 正直 
interact , 相互に作用する 
interactive , 相互に作用する影響し合う 
intercept , 進行する人・物を途中で捕まえる 
interchange , インターチェンジ 
intercourse , 性交 
interface , 接点 
intervene , 間に起こる 
intimacy , 親密さ 
intolerable , 耐えられない 
intricate , こみ入った 
introductory , 入門 
intruder , 侵略者 
intrusion , 押しつけること 
intuition , 直観力 
invader , 侵入者 
invaluable , はかりしれない 
inventive , 発明の才のある 
investigator , 研究者 
invoice , 送り状 
involuntary , いやいやながらの 
ironic , 皮肉な 
irrational , 不合理な 
irrelevant , 見当違いの 
ivy , ツタ 
jellyfish , クラゲ 
jingle , 鈴などをリンリン鳴らす 
